         426046 function calls (416002 primitive calls) in 33.457 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.629    0.629   33.457   33.457 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\main.py:19(run_video)
      212    3.696    0.017   16.199    0.076 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\analyse.py:55(analysis_pipeline)
      636    5.301    0.008    5.301    0.008 {method 'detect' of 'cv2.Feature2D' objects}
      203    5.287    0.026    5.287    0.026 {waitKey}
        1    0.000    0.000    5.002    5.002 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\steering.py:287(ejaculate)
        1    5.000    5.000    5.000    5.000 {built-in method time.sleep}
     1060    0.304    0.000    4.687    0.004 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\VideoDebugger.py:32(run_analysis)
      203    0.166    0.001    3.895    0.019 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\videoOutput.py:33(showFrame)
     1678    0.028    0.000    3.749    0.002 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\VideoDebugger.py:13(write_video)
      424    0.004    0.000    3.520    0.008 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\analyse.py:465(find_ball_keypoints)
     1678    3.374    0.002    3.374    0.002 {method 'write' of 'cv2.VideoWriter' objects}
      212    0.026    0.000    2.064    0.010 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\analyse.py:163(find_triple_green_robot)
     1060    0.016    0.000    1.438    0.001 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\analyse.py:137(apply_threshold)
     4578    1.040    0.000    1.262    0.000 {built-in method builtins.print}
     2932    1.221    0.000    1.221    0.000 {cvtColor}
     8616    0.950    0.000    0.950    0.000 {method 'astype' of 'numpy.ndarray' objects}
     1060    0.822    0.001    0.822    0.001 {inRange}
     1015    0.762    0.001    0.762    0.001 {resize}
      406    0.674    0.002    0.680    0.002 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\shape_base.py:292(hstack)
      211    0.019    0.000    0.640    0.003 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\analyse.py:293(calculate_safepoints)
        3    0.593    0.198    0.593    0.198 {method 'set' of 'cv2.VideoCapture' objects}
      212    0.033    0.000    0.543    0.003 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\analyse.py:426(isolate_borders)
      203    0.005    0.000    0.454    0.002 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\steering.py:191(pick_program_pipeline)
      203    0.404    0.002    0.404    0.002 {imshow}
     2038    0.008    0.000    0.401    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\arrayprint.py:1595(_array_str_implementation)
     2038    0.016    0.000    0.392    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\arrayprint.py:561(array2string)
        1    0.361    0.361    0.388    0.388 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\webcam.py:5(open_webcam_video)
      203    0.372    0.002    0.374    0.002 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\shape_base.py:219(vstack)
      203    0.003    0.000    0.350    0.002 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\steering.py:96(follow_path)
     2038    0.012    0.000    0.348    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\arrayprint.py:506(wrapper)
     2038    0.017    0.000    0.332    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\arrayprint.py:523(_array2string)
      212    0.330    0.002    0.330    0.002 {method 'read' of 'cv2.VideoCapture' objects}
      203    0.012    0.000    0.307    0.002 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\steering.py:83(create_path)
        2    0.295    0.147    0.295    0.147 {method 'release' of 'cv2.VideoCapture' objects}
      415    0.288    0.001    0.288    0.001 {floodFill}
      203    0.009    0.000    0.268    0.001 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\analyse.py:383(find_cross_bounding_rectangle)
     2038    0.017    0.000    0.204    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\arrayprint.py:452(_get_format_function)
     4872    0.155    0.000    0.155    0.000 {putText}
      991    0.003    0.000    0.129    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\arrayprint.py:411(<lambda>)
      991    0.006    0.000    0.126    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\arrayprint.py:907(__init__)
      424    0.024    0.000    0.120    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\analyse.py:346(convert_perspective)
      991    0.044    0.000    0.119    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\arrayprint.py:934(fillFormat)
     2038    0.004    0.000    0.109    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\arrayprint.py:780(_formatArray)
12022/2038    0.050    0.000    0.105    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\arrayprint.py:789(recurser)
      212    0.091    0.000    0.091    0.000 {erode}
      213    0.076    0.000    0.076    0.000 {findContours}
     4727    0.071    0.000    0.071    0.000 {circle}
        1    0.000    0.000    0.065    0.065 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\steering.py:13(__init__)
        1    0.000    0.000    0.065    0.065 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\RobotInterface.py:16(connect)
      212    0.006    0.000    0.065    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\analyse.py:481(calculate_distance_to_closest_border)
        1    0.063    0.063    0.063    0.063 {method 'connect' of '_socket.socket' objects}
     5070    0.018    0.000    0.063    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\fromnumeric.py:71(_wrapreduction)
     6436    0.037    0.000    0.061    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\linalg\linalg.py:2383(norm)
      844    0.030    0.000    0.059    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\analyse.py:471(distance_point_to_segment)
      203    0.051    0.000    0.051    0.000 {namedWindow}
     1047    0.003    0.000    0.049    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\arrayprint.py:410(<lambda>)
     1047    0.012    0.000    0.047    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\arrayprint.py:1223(__init__)
      203    0.004    0.000    0.044    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\steering.py:59(find_path_to_target)
       75    0.001    0.000    0.044    0.001 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\steering.py:267(move_corrected)
      212    0.042    0.000    0.042    0.000 {copyMakeBorder}
      406    0.016    0.000    0.040    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\steering.py:152(find_closest_safepoint_index)
     2113    0.006    0.000    0.039    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\fromnumeric.py:2692(max)
      209    0.038    0.000    0.038    0.000 {built-in method numpy.zeros}
     5141    0.038    0.000    0.038    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       78    0.001    0.000    0.032    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\RobotInterface.py:50(send_command)
      203    0.031    0.000    0.031    0.000 {bitwise_or}
      415    0.031    0.000    0.031    0.000 {bitwise_not}
      203    0.002    0.000    0.030    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\steering.py:164(are_coordinates_close)
     7047    0.028    0.000    0.028    0.000 {built-in method numpy.array}
        1    0.000    0.000    0.028    0.028 C:\Program Files\Python311\Lib\platform.py:914(system)
        1    0.000    0.000    0.028    0.028 C:\Program Files\Python311\Lib\platform.py:825(uname)
        1    0.000    0.000    0.028    0.028 C:\Program Files\Python311\Lib\platform.py:363(win32_ver)
      212    0.019    0.000    0.027    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\analyse.py:261(calculate_goals)
        1    0.000    0.000    0.027    0.027 C:\Program Files\Python311\Lib\platform.py:263(_syscmd_ver)
     7874    0.010    0.000    0.026    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\arrayprint.py:753(_extendLine_pretty)
     2038    0.013    0.000    0.026    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\arrayprint.py:64(_make_options_dict)
       39    0.000    0.000    0.023    0.001 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\steering.py:281(collect_ball)
     6771    0.005    0.000    0.021    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\arrayprint.py:989(<genexpr>)
        2    0.021    0.011    0.021    0.011 {destroyAllWindows}
       36    0.000    0.000    0.020    0.001 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\steering.py:278(get_near_ball)
     5780    0.015    0.000    0.020    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\arrayprint.py:1018(__call__)
     2113    0.003    0.000    0.019    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\fromnumeric.py:2836(min)
       10    0.001    0.000    0.019    0.002 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\analyse.py:436(find_border_corners)
        1    0.000    0.000    0.018    0.018 C:\Program Files\Python311\Lib\subprocess.py:417(check_output)
        1    0.000    0.000    0.018    0.018 C:\Program Files\Python311\Lib\subprocess.py:506(run)
      844    0.004    0.000    0.018    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\fromnumeric.py:2177(sum)
     1982    0.007    0.000    0.015    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\_ufunc_config.py:33(seterr)
      212    0.004    0.000    0.015    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\analyse.py:129(calculate_course_dimensions)
     1720    0.015    0.000    0.015    0.000 {arrowedLine}
     6771    0.007    0.000    0.014    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\arrayprint.py:984(<genexpr>)
     1058    0.009    0.000    0.013    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\utils.py:26(coordinates_to_vector)
